table_schema,table_name
auth,audit_log_entries
auth,flow_state
auth,identities
auth,instances
auth,mfa_amr_claims
auth,mfa_challenges
auth,mfa_factors
auth,one_time_tokens
auth,refresh_tokens
auth,saml_providers
auth,saml_relay_states
auth,schema_migrations
auth,sessions
auth,sso_domains
auth,sso_providers
auth,users
public,audit_logs
public,categories
public,columns
public,data_entries
public,notifications
public,profiles
public,regions
public,schools
public,sectors
public,user_roles
